"<ID|readonly|
noverify>";"<English>";

//MOD CATEGORIES
"modification/category/lth";"Flight Performance";;

"modification/category/armor";"Survivability";;

"modification/category/weapon";"Weaponry";;

"modification/category/mobility";"Mobility";;

"modification/category/protection";"Protection";;

"modification/category/firepower";"Firepower";;

"modification/category/primaryWeapon";"Primary Weapons";;

"modification/category/secondaryWeapon";"Secondary Weapons";;

"modification/category/premiumMods";"Special";;

"modification/category/expendables";"Supplies";;

"modification/category/seakeeping";"Seakeeping";;

"modification/category/unsinkability";"Unsinkability";;

"modification/category/bonus";"Tier Bonus";;

//MOD TOOLTIPS
"modification/category/bonus/tooltip";"When researching all modifications at each tier, you will receive bonus RP for the vehicle being researched in the amount of {bonus}% of the sum of RP spent on researching all modifications of that tier.";;

"modification/tierBonus";"Bonus:";;

"modification/bonusReceived";"Bonus Received";;

"modification/progressModsText";"Research of all modifications: {earnedExp} / {reqExp}";;

"modification/progressModsAllResearchedText";"◕ All Mods Researched";;

//MISC MODS
"modification/hydravlic_power";"New Boosters";;
"modification/hydravlic_power/desc";"New hydraulic boosters improve plane's controllability";;

"modification/new_compressor_r";"Compressor";;
"modification/new_compressor_r/desc";"Checking and tweaking of compressor provides maximum engine power.";;

"modification/new_radiator_r";"Radiator";;
"modification/new_radiator_r/desc";"Cleaning of radiator and cooling system makes engine cooling more effective.";;

"modification/hp_105_r";"Engine";;
"modification/hp_105_r/desc";"Rebuilding and tuning of the engine, replacement of worn engine with a new one.";;

"modification/structure_str_r";"Airframe";;
"modification/structure_str_r/desc";"Replacement of damaged airframe elements increases overall plane's durability and flight performance due to weight reduction. For some planes it means that you get a new plane with undamaged airframe.";;

"modification/new_cover_r";"Cover";;
"modification/new_cover_r/desc";"Regular maintaining of cover and replacement of damaged cover parts increases overall plane's durability and flight performance, due to weight reduction.";;

"modification/CdMin_Fuse_r";"Fuselage Repair";;
"modification/CdMin_Fuse_r/desc";"Replacement of damaged elements of fuselage skinning, removal of openings, and surface finish to reduce air drag.";;

"modification/cd_98_r";"Wings Repair";;
"modification/cd_98_r/desc";"Replacement of damaged elements of wing skin, removal of openings, and surface finish to reduce air drag.";;

"modification/g_suit";"G-Suit";;
"modification/g_suit/desc";"G-Suit makes it easier to carry overload";;

"modification/f_4c_g_suit";"G-Suit";;
"modification/f_4c_g_suit/desc";"G-Suit makes it easier to carry overload";;

"modification/countermeasures_belt_pack_unchecked";"Flares/Chaff";;
"modification/countermeasures_belt_pack_unchecked/desc";"Set of Countermeasures";;

"modification/countermeasures_launcher_chaff_priority_unchecked";"Flares";;
"modification/countermeasures_launcher_flare_priority_unchecked";"Flares";;

"modification/countermeasures_launcher_flare_only_unchecked";"Flares";;
"modification/countermeasures_launcher_chaff_only_unchecked";"Flares";;

"modification/_countermeasures";"Countermeasures";;

"modification/countermeasures_launcher_chaff_priority";"Flares";;
"modification/countermeasures_launcher_flare_priority";"Flares";;

"modification/countermeasures_launcher_flare_only";"Flares";;
"modification/ountermeasures_launcher_chaff_only";"Flares";;

"modification/countermeasures_belt_pack";"Flares/Chaff";;
"modification/countermeasures_belt_pack/desc";"Set of Countermeasures";;

"countermeasuresBol_default/name";"Countermeasures (BOL)";;

"countermeasuresMAW_default/name";"Countermeasures";;

"countermeasures_launcher_chaff_large/name";"Countermeasures";;

"countermeasures_launcher_chaff_bol_pod/name";"Countermeasures (BOL)";;

"countermeasures_launcher_chaff_add_pod/name";"Countermeasures";;

"countermeasures_launcher_chaff/name";"Countermeasures";;

"maw_countermeasures_launcher_chaff/name";"Countermeasures";;

"maw_countermeasures_launcher_chaff_large/name";"Countermeasures";;

"countermeasures_launcher_chaff_large_add_pod/name";"Countermeasures";;

"modification/_belt_pack";"Offensive %smm Belts";;
"modification/_belt_pack/desc";"Set of %smm belts for offensive weapons.";;
"modification/_belt_pack/short";"Offensive %smm";;

"modification/_turret_belt_pack";"Turret %smm Belts";;
"modification/_turret_belt_pack/desc";"Set of %smm belts for turret weapons.";;
"modification/_turret_belt_pack/short";"Turret %smm";;

"modification/_new_gun/cannon";"New %smm Cannons";;
"modification/_new_gun/cannon/desc";"The %smm cannons' worn barrels, trigger and striking mechanisms are replaced with new ones, to improve fire density and to decrease the chance of seizure.";;

"modification/_turret_new_gun";"New %smm MGs (turret)";;
"modification/_turret_new_gun/desc";"The %smm turret machine guns' worn barrels, trigger and striking mechanisms are replaced with new ones, to improve fire density and to decrease the chance of seizure.";;

"modification/_turret_new_gun/cannon";"New %smm Cannons (Turret)";;
"modification/_turret_new_gun/cannon/desc";"The %smm turret cannons' worn barrels, trigger and striking mechanisms are replaced with new ones, to improve fire density and to decrease the chance of seizure.";;

//MISSILES, US
"modification/us_aim_7d/desc";"Allows the installation of AIM-7D Sparrow Air-to-Air Missiles.";;
"modification/us_aim_7d";"AIM-7D Sparrow";;

"modification/us_aim_7c/desc";"Allows the installation of AIM-7С Sparrow Air-to-Air Missiles.";;
"modification/us_aim_7c";"AIM-7С Sparrow";;

"modification/us_aim_7e/desc";"Allows the installation of AIM-7E Sparrow Air-to-Air Missiles.";;
"modification/us_aim_7e";"AIM-7E Sparrow";;

"modification/us_aim_7e2/desc";"Allows the installation of AIM-7E-2 Sparrow Air-to-Air Missiles.";;
"modification/us_aim_7e2";"AIM-7E-2 Sparrow";;

"modification/us_aim_7f/desc";"Allows the installation of AIM-7F Sparrow Air-to-Air Missiles.";;
"modification/us_aim_7f";"AIM-7F Sparrow";;

"modification/us_aim_7m/desc";"Allows the installation of AIM-7M Sparrow Air-to-Air Missiles.";;
