"<ID|readonly|
noverify>";"<English>";

"exp_reasons/kill";"Aircraft Destroyed";;

"exp_reasons/kill_by_team";"Aircraft Destroyed By Our Team";;

"exp_reasons/kill_gm";"Target Destroyed";;

"exp_reasons/landing";"Landing";;

"exp_reasons/takeoff";"Takeoff";;

"exp_reasons/capture";"Zone Captured";;

"exp_reasons/destroy";"Base Destroyed";;

"exp_reasons/damage_zone";"Base Damaged";;

"exp_reasons/sight";"Enemy Sighted";;

"exp_reasons/critical_hit";"Critical Hit";;

"exp_reasons/hit";"Hit";;

"exp_reasons/ineffective_hit";"Target Undamaged";;

"exp_reasons/assist";"Enemy Kill Assist";;

"exp_reasons/overkill";"Finishing Enemy";;

"exp_reasons/objective";"Objective Completed";;

"exp_reasons/battle_trophy";"Battle Trophies";;

"exp_reasons/repair";"Repair";;

"exp_reasons/scout";"Target Scouted";;

"exp_reasons/scout_critical_hit";"Scouted Target Damaged";;

"exp_reasons/scout_kill";"Scouted Target Destroyed (by intelligence)";;

"exp_reasons/scout_kill_unknown";"Scouted Target Destroyed";;

"exp_reasons/timed_award";"Useful Actions";;

"exp_reasons/severe_damage";"Severe Damage";;

"exp_reasons/kill_finishing_other";"Aircraft Finished Off";;

"exp_reasons/kill_from_severe_damage";"Severely Damaged Aircraft Kill Counted";;

"exp_reasons/kill_helicopter_finishing_other";"Helicopter Finished Off";;

"exp_reasons/kill_helicopter_from_severe_damage";"Severely Damaged Helicopter Kill Counted";;

"exp_reasons/missile_evade";"Missile Evasion";;

"exp_reasons/shell_interception";"Munition Eliminated";;
