"<ID|readonly|
noverify>";"<English>";;

"radar";"Radar";;
"radar_irst";"Radar/IRST";;
"irst";"<color=@badTextColor>IRST</color> - <color=@userlogColoredText>Infrared Search & Track</color>";;
"radar_tv";"Radar/TV tracker";;
"radar_type";"Type";;
"search_radar";"Search Radar";;
"search_radar_irst";"Search Radar/IRST";;
"search_irst";"Search IRST";;
"search_radar_tv";"Search Radar/TV";;
"search_tv";"Search TV";;
"track_radar";"Track Radar";;
"track_radar_irst";"Track Radar/IRST";;
"track_irst";"Track IRST";;
"track_radar_tv";"Track Radar/TV";;
"track_tv";"TV Tracker";;
"radar_range_finder";"Radar Rangefinder
    <color=@badTextColor>ACM</color> - <color=@userlogColoredText>Air Combat Mode</color>";;

"radar_freq_band";"Frequency";;
"radar_freq_band_0";"A-band";;
"radar_freq_band_1";"B-band";;
"radar_freq_band_2";"C-band";;
"radar_freq_band_3";"D-band";;
"radar_freq_band_4";"E-band";;
"radar_freq_band_5";"F-band";;
"radar_freq_band_6";"G-band";;
"radar_freq_band_7";"H-band";;
"radar_freq_band_8";"I-band";;
"radar_freq_band_9";"J-band";;
"radar_freq_band_10";"K-band";;
"radar_freq_band_11";"L-band";;
"radar_freq_band_12";"M-band";;

"radar_range_max";"Range";;
"radar_search_zone_max";"Search Zone";;
"radar_ld";"Look-Down Modes";;
"radar_ld_head_on";"        <color=@badTextColor>PD RWS HDN</color> - <color=@userlogColoredText>Pulse-Doppler Range-While-Scan</color> Mode | Aspect: <color=@goodTextColor>Head-On</color>
          <color=@badTextColor>PD ACQ HDN</color> - <color=@userlogColoredText>Pulse-Doppler Target Acquisition</color> Mode | Aspect: <color=@goodTextColor>Head-On</color>
          <color=@badTextColor>PD STT HDN</color> - <color=@userlogColoredText>Pulse-Doppler Single-Target Track</color> Mode | Aspect: <color=@goodTextColor>Head-On</color>";;
"radar_ld_head_on_velocity";"        <color=@badTextColor>PDV SRC HDN</color> - <color=@userlogColoredText>Pulse-Doppler Velocity Search</color> Mode | Aspect: <color=@goodTextColor>Head-On</color>
          <color=@badTextColor>PDV ACQ HDN</color> - <color=@userlogColoredText>Pulse-Doppler Velocity Search Target Acquisition</color> Mode | Aspect: <color=@goodTextColor>Head-On</color>
          <color=@badTextColor>PDV STT HDN</color> - <color=@userlogColoredText>Pulse-Doppler Velocity Search Single-Target Track</color> Mode | Aspect: <color=@goodTextColor>Head-On</color>";;
