"<ID|readonly|
noverify>";"<English>";

"mainmenu/btnRepairAll";"Repair All";;

"mainmenu/btnBuyAll";"Purchase All";;

"mainmenu/btnBuySelected";"Purchase Selected";;

"mainmenu/btnBuyAndSetUnitInSlot";"Purchase Vehicle and Train a Crew";;

"mainmenu/btnTrainCrew";"Train a Crew";;

"mainmenu/btnBuyAllWeapons";"Purchase All Weapons";;

"mainmenu/btnBuyAllBullets";"Purchase All Shell Racks";;

"mainmenu/btnBuyAllModifications";"Purchase All Modifications";;

"mainmenu/btnBuyAllResearched";"Purchase All Researched";;

"mainmenu/btnTestProjectileProps";"Testable Shell Parameters";;

"mainmenu/btnTestFlight";"Test Flight";;

"mainmenu/cantTestFlight";"Test Flight is temporarily unavailable for this aircraft.";;

"mainmenu/btnTestDrive";"Test Drive";;

"mainmenu/cantTestDrive";"Test Drive is temporarily unavailable for this tank.";;

"mainmenu/btnTestSail";"Test Sail";;

"mainmenu/cantTestSail";"Test Sail is temporarily unavailable for this ship.";;

"mainmenu/btnTakeAircraft";"Choose a Crew";;

"mainmenu/btnTakeAircraftDesc";"Add Vehicle Into Slot";;

"mainmenu/btnDynamicTraining";"Mission Settings";;

"mainmenu/btnDynamicPreview";"Mission Preview";;

"mainmenu/btnDynamicTuner";"Aircraft Settings";;

"mainmenu/btnDynamicSummary";"Campaign Summary";;

"mainmenu/btnBattlelog";"Battle Log";;

"unlocks/need_to_unlock";"Vehicle Needed: ";;

"mainmenu/btnFavorite";"Mark as Favorite";;

"mainmenu/btnFavoriteUnmark";"Unmark as Favorite";;

"mainmenu/onlyFavorite";"Favorites";;

"mainmenu/onlyAvailable";"Only Available";;

"mainmenu/btnAssign";"Assign Button";;
