"<ID|readonly|
noverify>";"<English>";;

"hud/standby";"STDBY";;
"hud/search";"RWS";;
"hud/acquisition";"ACQ";;
"hud/ACM";"ACM";;
"hud/HMD";"HMS";;
"hud/BST";"BST";;
"hud/VSL";"VSL";;
"hud/track";"STT";;
"hud/LD standby";"LD";;
"hud/LD search";"LD RWS";;
"hud/LD acquisition";"ACQ";;
"hud/LD ACM";"ACM";;
"hud/LD track";"STT";;
"hud/PD VS standby";"PDV";;
"hud/PD VS search";"PDV RWS";;
"hud/PD VS acquisition";"PDV ACQ";;
"hud/PD VS ACM";"PD ACM";;
"hud/PD VS BST";"BST PD";;
"hud/PD VS VSL";"VSL PD";;
"hud/PD HDN VS standby";"PDV HDN STDBY";;
"hud/PD HDN VS search";"PDV HDN RWS";;
"hud/PD HDN VS acquisition";"PDV HDN ACQ";;
"hud/PD HDN VS ACM";"PDV HDN ACM";;
"hud/PD HDN VS BST";"PDV HDN BST";;
"hud/PD HDN VS VSL";"PDV HDN VSL";;
"hud/PD standby";"PD";;
"hud/PD search";"PD RWS";;
"hud/PD acquisition";"PD ACQ";;
"hud/PD ACM";"PD ACM";;
"hud/PD HMD";"PD HMS";;
"hud/PD BST";"PD BST";;
"hud/PD VSL";"PD VSL";;
"hud/PD track";"PD STT";;
"hud/PD RAM";"PD RAM";;
"hud/PD HDN standby";"PD";;
"hud/PD HDN search";"PD HDN RWS";;
"hud/PD HDN acquisition";"PD HDN ACQ";;
"hud/PD HDN ACM";"PD HDN ACM";;
"hud/PD HDN HMD";"PD HDN HMS";;
"hud/PD HDN BST";"PD HDN BST";;
"hud/PD HDN VSL";"PD HDN VSL";;
"hud/PD HDN track";"PD HDN STT";;
"hud/GTM standby";"GMTI";;
"hud/GTM search";"GMTI RWS";;
"hud/GTM acquisition";"GMTI ACQ";;
"hud/GTM ACM";"GMTI ACM";;
"hud/GTM BST";"GMTI BST";;
"hud/GTM VSL";"GMTI VSL";;
"hud/GTM track";"GMTI STT";;
"hud/SEA standby";"SEA";;
"hud/SEA search";"SEA RWS";;
"hud/SEA acquisition";"SEA ACQ";;
"hud/SEA ACM";"SEA ACM";;
"hud/SEA BST";"SEA BST";;
"hud/SEA VSL";"SEA VSL";;
"hud/SEA track";"SEA TRK";;
"hud/MTI standby";"MTI";;
"hud/MTI search";"MTI RWS";;
"hud/MTI acquisition";"MTI ACQ";;
"hud/MTI ACM";"MTI ACM";;
"hud/MTI track";"MTI STT";;
"hud/TWS standby";"TWS STDBY";;
