"<ID|readonly|
noverify>";"<English>";

"p-40e_china_shop";"☀P-40E-1 Kittyhawk";;
"p-40e_china_0";"☀Curtiss P-40E Kittyhawk | Block 1";;
"p-40e_china_1";"☀P-40E-1 Kittyhawk";;
"p-40e_china_2";"☀P-40E-1";;

"p-43a-1_china_shop";"☀P-43A-1 Lancer";;
"p-43a-1_china_0";"☀Republic P-43A Lancer | Block 1";;
"p-43a-1_china_1";"☀P-43A-1 Lancer";;
"p-43a-1_china_2";"☀P-43A-1";;

"p-40c_china_shop";"☀H-81A-2 Warhawk";;
"p-40c_china_0";"☀Curtiss H-81A Warhawk | Block 2";;
"p-40c_china_1";"☀H-81A-2 Warhawk";;
"p-40c_china_2";"☀H-81A-2";;

"p-47d_23_ra_china_rocaf_shop";"☀P-47D-23 Thunderbolt";;
"p-47d_23_ra_china_rocaf_0";"☀Republic P-47D Thunderbolt | Block 23";;
"p-47d_23_ra_china_rocaf_1";"☀P-47D-23 Thunderbolt";;
"p-47d_23_ra_china_rocaf_2";"☀P-47D-23";;

"p-47d_30_china_shop";"☀P-47D-30 Thunderbolt";;
"p-47d_30_china_0";"☀Republic P-47D Thunderbolt | Block 30";;
"p-47d_30_china_1";"☀P-47D-30 Thunderbolt";;
"p-47d_30_china_2";"☀P-47D-30";;

"p-51c-11-nt_china_shop";"☀P-51C-11 Mustang";;
"p-51c-11-nt_china_0";"☀North American P-51C Mustang | Block 11";;
"p-51c-11-nt_china_1";"☀P-51C-11 Mustang";;
"p-51c-11-nt_china_2";"☀P-51C-11";;

"b_25j_30_china_shop";"☀B-25J-30 Mitchell";;
"b_25j_30_china_0";"☀North American B-25J Mitchell | Block 30";;
"b_25j_30_china_1";"☀B-25J-30 Mitchell";;
"b_25j_30_china_2";"☀B-25J-30";;

"p-51d-20_china_shop";"☀P-51D-20 Mustang";;
"p-51d-20_china_0";"☀North American P-51D Mustang | Block 20";;
"p-51d-20_china_1";"☀P-51D-20 Mustang";;
"p-51d-20_china_2";"☀P-51D-20";;

"p-51k_shop";"☀P-51K Mustang";;
"p-51k_0";"☀North American P-51K Mustang";;
"p-51k_1";"☀P-51K Mustang";;
"p-51k_2";"☀P-51K";;

"p-38l_1_china_rocaf_shop";"☀P-38L-1 Lightning";;
"p-38l_1_china_rocaf_0";"☀Lockheed P-38L Lightning | Block 1";;
"p-38l_1_china_rocaf_1";"☀P-38L-1 Lightning";;
"p-38l_1_china_rocaf_2";"☀P-38L-1";;

